Timestamp,course_enrolled,openhouse,instantdecisionday,onCampusInfoSession,virtualInfoSession,womenWhoDare,regionalCollegeFair,HS_Sharetime,challenger,CSIPPP,HSInfoSession,HSCampusVisit,IndivCampusVisit,workforceDev,corporateTraining,teenArtsFest,CCMSummerCamp,hourOfCode,computingClass_HS,computerClub_HS,computerComp,degree_program,Gender,race,Age 
2022/10/06 10:11:16 AM EST,CMP 239 Internet & Web Page Design,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,Digital Media Technology,Man,Hispanic or Latino,19-20
2022/10/06 10:12:05 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,Computer Science,Man,Multi-racial,18 and younger
2022/10/06 10:13:01 AM EST,CMP 239 Internet & Web Page Design,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,Information Technology,Man,Hispanic or Latino,18 and younger
2022/10/06 10:13:11 AM EST,CMP 239 Internet & Web Page Design,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,Business and Marketing ,Woman,Multi-racial,18 and younger
2022/10/06 10:13:32 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Digital Media Technology,Man,White/Caucasian,21-24
2022/10/06 10:14:08 AM EST,CMP 239 Internet & Web Page Design,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Some Impact,Some Impact,No Impact,Information Technology,Woman,Hispanic or Latino,19-20
2022/10/06 10:14:36 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Web Development Certificate of Achievement,Woman,Multi-racial,18 and younger
2022/10/06 10:15:07 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,,,Information Technology,Man,White/Caucasian,21-24
2022/10/06 10:16:04 AM EST,CMP 239 Internet & Web Page Design,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,Some Impact,Digital Media Technology,Woman,White/Caucasian,19-20
2022/10/06 10:16:51 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,No Impact,Business Professional,Man,Asian,19-20
2022/10/06 10:17:41 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Information Technology,Man,Asian,19-20
2022/10/06 10:19:04 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Information Technology,Man,Asian,21-24
2022/10/06 10:19:59 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,Computer Science,Man,Asian,19-20
2022/10/06 10:52:04 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Information Technology,Prefer not to say,Choose not to reply,35-64
2022/10/07 10:53:27 PM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,biology,Woman,White/Caucasian,18 and younger
2022/10/10 2:28:44 PM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Non Degree seeking,Woman,White/Caucasian,35-64
2022/10/13 11:57:18 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Woman,Hispanic or Latino,18 and younger
2022/10/13 11:58:09 AM EST,CMP 128 Computer Science I,Not Sure,No,Yes,No,No,No,Yes,Not Sure,Not Sure,No,Not Sure,No,No,No,No,No,No,No Impact,No Impact,Some Impact,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
2022/10/13 11:58:28 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,Information Technology,Man,Hispanic or Latino,18 and younger
2022/10/13 12:00:20 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Not Sure,Yes,Yes,No,No,No,No,Yes,Yes,No,High Impact,No Impact,No Impact,Information Technology,Woman,White/Caucasian,18 and younger
2022/10/13 12:01:22 PM EST,CMP 128 Computer Science I,No,No,Yes,No,Not Sure,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Information Technology,Man,Multi-racial,18 and younger
2022/10/13 12:03:03 PM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Some Impact,No Impact,No Impact,ShareTime CSIP Program,Man,Multi-racial,18 and younger
2022/10/13 12:03:06 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
2022/10/13 12:03:47 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Woman,Multi-racial,18 and younger
2022/10/13 12:05:34 PM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,ShareTime CSIP Program,Man,Asian,18 and younger
2022/10/13 12:05:35 PM EST,CMP 128 Computer Science I,Not Sure,Not Sure,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
2022/10/13 12:05:51 PM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,ShareTime CSIP Program,Man,Multi-racial,18 and younger
2022/10/13 12:07:31 PM EST,CMP 128 Computer Science I,No,No,Yes,No,Not Sure,Not Sure,Not Sure,Yes,Yes,No,No,Yes,No,No,No,No,No,Some Impact,Some Impact,High Impact,Information Technology,Man,Choose not to reply,19-20
2022/10/13 12:07:35 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,No Impact,No Impact,Information Security Certificate of Achievement,Man,Multi-Racial,18 and younger
2022/10/13 12:09:14 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Challenger Program,Woman,White/Caucasian,18 and younger
2022/10/13 12:13:01 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,ShareTime CSIP Program,Man,Asian,18 and younger
2022/10/13 12:13:38 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
2022/10/13 12:14:04 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Business Administration,Man,Hispanic or Latino,35-64
